TreeDepth,PID,Process,SID,Name
0,7752,vmtoolsd.exe,S-1-5-5-0-827224,Logon Session
0,7752,vmtoolsd.exe,S-1-2-0,Local (Users with the ability to log in locally)
0,7752,vmtoolsd.exe,S-1-5-21-3445421715-2530590580-3149308974-1187,-
0,7752,vmtoolsd.exe,S-1-18-1,Authentication Authority Asserted Identity
0,7752,vmtoolsd.exe,S-1-16-8192,Medium Mandatory Level
0,7804,OneDrive.exe,S-1-5-21-3445421715-2530590580-3149308974-1116,tdungan
0,7804,OneDrive.exe,S-1-5-21-3445421715-2530590580-3149308974-513,Domain Users
0,7804,OneDrive.exe,S-1-1-0,Everyone
0,7804,OneDrive.exe,S-1-5-32-555,"BUILTIN\Remote Desktop Users"
0,7804,OneDrive.exe,S-1-5-32-545,Users
0,7804,OneDrive.exe,S-1-5-4,Interactive
0,7804,OneDrive.exe,S-1-2-1,Console Logon (Users who are logged onto the physical console)
0,7804,OneDrive.exe,S-1-5-11,Authenticated Users
0,7804,OneDrive.exe,S-1-5-15,This Organization
0,7804,OneDrive.exe,S-1-5-5-0-827224,Logon Session
0,7804,OneDrive.exe,S-1-2-0,Local (Users with the ability to log in locally)
0,7804,OneDrive.exe,S-1-5-21-3445421715-2530590580-3149308974-1187,-
